capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Rome,2003,16.26835616438356,7.681216745866131,681.9,83,0.0,0,43963.899890410954,36224.277315068495,1,Italy,41.893055555,12.482777777
Roseau,2003,26.284246575342465,0.8714045719667528,705.0,147,0.0,0,43688.381753424655,39325.96035616438,1,Dominica,15.3,-61.383333333
San José,2003,21.153013698630136,1.1016492193793304,3189.9,239,0.0,0,43659.08375342466,30483.4081369863,3,Costa Rica,9.932738888,-84.079613888
San Marino,2003,11.942602739726027,8.537849638456604,695.9,110,69.78999999999999,16,44001.49879452055,34523.147698630135,2,San Marino,43.932011111,12.44845
San Salvador,2003,24.22082191780822,0.9664307184605765,767.0,145,0.0,0,43678.934273972605,37549.36106849315,1,El Salvador,13.697597222,-89.191155555
Santiago,2003,17.002602739726026,4.8873294431884,324.4,32,0.0,0,43578.70010958904,37120.73084931507,4,Chile,-33.4375,-70.65
Santo Domingo,2003,25.440547945205477,1.1210399048035595,988.9,195,0.0,0,43708.48005479452,38487.69394520548,1,Dominican Republic,18.4625,-69.936111111
Sarajevo,2003,10.068904109589042,9.408410365673452,661.8,103,150.01,35,44000.13320547945,30652.587150684933,2,Bosnia and Herzegovina,43.856388888,18.413055555
Singapore,2003,26.913972602739726,0.8180463522393818,2431.5,276,0.0,0,43622.00520547945,34846.12720547945,3,Singapore,1.3,103.8
Skopje,2003,13.425890410958903,9.48153538645828,392.7,74,40.25,9,43966.366164383566,32587.46356164383,2,North Macedonia,41.996111111,21.431666666
Sofia,2003,10.412465753424659,9.542200339017743,607.2,96,91.21,19,43978.970054794525,32071.9677260274,2,Bulgaria,42.697886,23.321726
South Tarawa,2003,27.55109589041096,0.6090651313171366,2492.6,205,0.0,0,43622.00520547945,36296.96276712329,3,Kiribati,1.333333333,172.966666666
St. George's,2003,26.712739726027397,0.74400213479321,1099.9,193,0.0,0,43670.00252054795,38976.75465753424,1,Grenada,12.0525,-61.753055555
St. John's,2003,26.612328767123287,0.9255893883310496,745.8,143,0.0,0,43699.722575342465,39289.645479452054,1,Antigua and Barbuda,17.121111111,-61.844722222
Suva,2003,24.376712328767123,1.8511705940071574,2408.6,249,0.0,0,43576.494821917804,34191.45490410959,3,Fiji,-18.133333333,178.433333333
Tallinn,2003,5.835205479452054,9.135315200777272,417.8,96,104.78999999999999,31,44547.500273972604,25385.90109589041,0,Estonia,59.437222222,24.745
Tbilisi,2003,11.540000000000001,8.979899868503638,313.9,60,35.21,10,43961.45145205479,31595.696410958903,2,Georgia,41.7225,44.7925
Tegucigalpa,2003,22.845890410958905,2.2970052383223503,903.4,137,0.0,0,43681.34802739726,38805.84778082192,1,Honduras,14.105783333,-87.204705555
Tehran,2003,14.942876712328767,11.133000454476495,247.5,41,12.67,4,43870.515013698634,37909.46673972603,2,Iran,35.688888888,51.389722222
Thimphu,2003,10.295890410958904,6.001105400833524,5567.2,326,28.35,6,43779.78734246576,27287.645999999997,3,Bhutan,27.47135,89.63367
